INFO  - 2013-11-29 20:37:26.154; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=France&wt=javabin&version=2&rows=10} hits=96430 status=0 QTime=5 
INFO  - 2013-11-29 20:37:26.192; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Jersey&wt=javabin&version=2&rows=10} hits=93 status=0 QTime=2 
INFO  - 2013-11-29 20:37:30.893; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Indonesia&wt=javabin&version=2&rows=10} hits=278076 status=0 QTime=13 
INFO  - 2013-11-29 20:37:30.939; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=United+States&wt=javabin&version=2&rows=10} hits=246200 status=0 QTime=21 
INFO  - 2013-11-29 20:37:30.973; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Indonesia&wt=javabin&version=2&rows=10} hits=278076 status=0 QTime=10 
INFO  - 2013-11-29 20:37:31.006; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Padang&wt=javabin&version=2&rows=10} hits=560 status=0 QTime=1 
INFO  - 2013-11-29 20:37:31.046; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Indonesia&wt=javabin&version=2&rows=10} hits=278076 status=0 QTime=6 
INFO  - 2013-11-29 20:37:31.114; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=5.0&wt=javabin&version=2&rows=10} hits=0 status=0 QTime=1 
INFO  - 2013-11-29 20:37:35.863; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=San+Diego&wt=javabin&version=2&rows=10} hits=220 status=0 QTime=2 
INFO  - 2013-11-29 20:37:45.145; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=New+South&wt=javabin&version=2&rows=10} hits=33 status=0 QTime=1 
INFO  - 2013-11-29 20:37:45.192; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Parliament&wt=javabin&version=2&rows=10} hits=4 status=0 QTime=1 
INFO  - 2013-11-29 20:37:45.258; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Labor&wt=javabin&version=2&rows=10} hits=112 status=0 QTime=1 
INFO  - 2013-11-29 20:37:45.414; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Parliament&wt=javabin&version=2&rows=10} hits=4 status=0 QTime=1 
INFO  - 2013-11-29 20:37:50.210; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Nigeria&wt=javabin&version=2&rows=10} hits=42801 status=0 QTime=3 
INFO  - 2013-11-29 20:37:50.254; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Nigeria&wt=javabin&version=2&rows=10} hits=42801 status=0 QTime=3 
INFO  - 2013-11-29 20:37:50.334; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Alliance&wt=javabin&version=2&rows=10} hits=31 status=0 QTime=0 
INFO  - 2013-11-29 20:37:50.377; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Nigeria&wt=javabin&version=2&rows=10} hits=42801 status=0 QTime=1 
INFO  - 2013-11-29 20:37:55.195; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Nigeria&wt=javabin&version=2&rows=10} hits=42801 status=0 QTime=3 
INFO  - 2013-11-29 20:37:55.578; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Nigeria&wt=javabin&version=2&rows=10} hits=42801 status=0 QTime=2 
INFO  - 2013-11-29 20:38:00.670; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=North&wt=javabin&version=2&rows=10} hits=35078 status=0 QTime=3 
INFO  - 2013-11-29 20:38:00.716; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Pyongyang&wt=javabin&version=2&rows=10} hits=3 status=0 QTime=1 
INFO  - 2013-11-29 20:38:00.753; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=North+Korea&wt=javabin&version=2&rows=10} hits=31794 status=0 QTime=5 
INFO  - 2013-11-29 20:38:00.796; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Pyongyang&wt=javabin&version=2&rows=10} hits=3 status=0 QTime=1 
INFO  - 2013-11-29 20:38:00.831; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=East&wt=javabin&version=2&rows=10} hits=6314 status=0 QTime=1 
INFO  - 2013-11-29 20:38:00.866; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=North&wt=javabin&version=2&rows=10} hits=35078 status=0 QTime=3 
INFO  - 2013-11-29 20:38:00.937; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=China&wt=javabin&version=2&rows=10} hits=311802 status=0 QTime=12 
INFO  - 2013-11-29 20:38:00.984; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=China&wt=javabin&version=2&rows=10} hits=311802 status=0 QTime=10 
INFO  - 2013-11-29 20:38:01.029; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=North+Korea&wt=javabin&version=2&rows=10} hits=31794 status=0 QTime=7 
INFO  - 2013-11-29 20:38:06.080; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Jersey&wt=javabin&version=2&rows=10} hits=93 status=0 QTime=1 
INFO  - 2013-11-29 20:38:06.114; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=United+Kingdom&wt=javabin&version=2&rows=10} hits=28275 status=0 QTime=5 
INFO  - 2013-11-29 20:38:06.155; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Normandy&wt=javabin&version=2&rows=10} hits=52 status=0 QTime=1 
INFO  - 2013-11-29 20:38:06.188; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=France&wt=javabin&version=2&rows=10} hits=96430 status=0 QTime=5 
INFO  - 2013-11-29 20:38:06.219; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Jersey&wt=javabin&version=2&rows=10} hits=93 status=0 QTime=1 
INFO  - 2013-11-29 20:38:06.252; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=St+.&wt=javabin&version=2&rows=10} hits=1054 status=0 QTime=1 
INFO  - 2013-11-29 20:38:06.283; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=United+Kingdom&wt=javabin&version=2&rows=10} hits=28275 status=0 QTime=5 
INFO  - 2013-11-29 20:38:06.315; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Jersey&wt=javabin&version=2&rows=10} hits=93 status=0 QTime=1 
INFO  - 2013-11-29 20:38:06.361; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Jersey&wt=javabin&version=2&rows=10} hits=93 status=0 QTime=2 
INFO  - 2013-11-29 20:38:06.538; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=United+Kingdom&wt=javabin&version=2&rows=10} hits=28275 status=0 QTime=4 
INFO  - 2013-11-29 20:38:11.642; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Kenya&wt=javabin&version=2&rows=10} hits=5364 status=0 QTime=1 
INFO  - 2013-11-29 20:38:11.850; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Kenya&wt=javabin&version=2&rows=10} hits=5364 status=0 QTime=1 
INFO  - 2013-11-29 20:38:17.148; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Pakistan&wt=javabin&version=2&rows=10} hits=99267 status=0 QTime=5 
INFO  - 2013-11-29 20:38:17.376; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Pakistan&wt=javabin&version=2&rows=10} hits=99267 status=0 QTime=5 
INFO  - 2013-11-29 20:38:17.533; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Pakistan&wt=javabin&version=2&rows=10} hits=99267 status=0 QTime=5 
INFO  - 2013-11-29 20:38:17.570; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Iraq&wt=javabin&version=2&rows=10} hits=23209 status=0 QTime=2 
INFO  - 2013-11-29 20:38:17.614; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Iran&wt=javabin&version=2&rows=10} hits=80184 status=0 QTime=5 
INFO  - 2013-11-29 20:38:17.658; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Saudi+Arabia&wt=javabin&version=2&rows=10} hits=2998 status=0 QTime=2 
INFO  - 2013-11-29 20:38:17.750; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=United+States&wt=javabin&version=2&rows=10} hits=246200 status=0 QTime=24 
INFO  - 2013-11-29 20:38:17.786; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Turkey&wt=javabin&version=2&rows=10} hits=49782 status=0 QTime=4 
INFO  - 2013-11-29 20:38:17.828; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Morocco&wt=javabin&version=2&rows=10} hits=18387 status=0 QTime=2 
INFO  - 2013-11-29 20:38:23.121; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Florida&wt=javabin&version=2&rows=10} hits=507 status=0 QTime=1 
INFO  - 2013-11-29 20:38:23.156; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Florida&wt=javabin&version=2&rows=10} hits=507 status=0 QTime=1 
INFO  - 2013-11-29 20:38:23.188; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Florida&wt=javabin&version=2&rows=10} hits=507 status=0 QTime=1 
INFO  - 2013-11-29 20:38:23.498; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Florida&wt=javabin&version=2&rows=10} hits=507 status=0 QTime=2 
INFO  - 2013-11-29 20:38:23.584; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Orlando&wt=javabin&version=2&rows=10} hits=44 status=0 QTime=1 
INFO  - 2013-11-29 20:38:23.634; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Daytona+Beach&wt=javabin&version=2&rows=10} hits=5 status=0 QTime=2 
INFO  - 2013-11-29 20:38:23.686; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Palm+Beach&wt=javabin&version=2&rows=10} hits=31 status=0 QTime=2 
INFO  - 2013-11-29 20:38:23.813; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Miami&wt=javabin&version=2&rows=10} hits=82 status=0 QTime=1 
INFO  - 2013-11-29 20:38:24.390; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Turkey&wt=javabin&version=2&rows=10} hits=49782 status=0 QTime=3 
INFO  - 2013-11-29 20:38:24.630; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Turkey&wt=javabin&version=2&rows=10} hits=49782 status=0 QTime=3 
INFO  - 2013-11-29 20:38:24.669; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Florida&wt=javabin&version=2&rows=10} hits=507 status=0 QTime=1 
INFO  - 2013-11-29 20:38:24.759; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Florida&wt=javabin&version=2&rows=10} hits=507 status=0 QTime=1 
INFO  - 2013-11-29 20:38:24.849; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Miami&wt=javabin&version=2&rows=10} hits=82 status=0 QTime=2 
INFO  - 2013-11-29 20:38:29.673; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Neverland&wt=javabin&version=2&rows=10} hits=0 status=0 QTime=1 
INFO  - 2013-11-29 20:38:29.699; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Santa+Barbara&wt=javabin&version=2&rows=10} hits=475 status=0 QTime=2 
INFO  - 2013-11-29 20:38:29.727; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=California&wt=javabin&version=2&rows=10} hits=151 status=0 QTime=1 
INFO  - 2013-11-29 20:38:29.768; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Jackson&wt=javabin&version=2&rows=10} hits=466 status=0 QTime=1 
INFO  - 2013-11-29 20:38:29.804; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Santa+Barbara&wt=javabin&version=2&rows=10} hits=475 status=0 QTime=2 
INFO  - 2013-11-29 20:38:29.839; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Santa+Barbara&wt=javabin&version=2&rows=10} hits=475 status=0 QTime=2 
INFO  - 2013-11-29 20:38:29.875; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Jackson&wt=javabin&version=2&rows=10} hits=466 status=0 QTime=1 
INFO  - 2013-11-29 20:38:39.592; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Spitsbergen&wt=javabin&version=2&rows=10} hits=3 status=0 QTime=1 
INFO  - 2013-11-29 20:38:39.664; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Garden+of&wt=javabin&version=2&rows=10} hits=58 status=0 QTime=2 
INFO  - 2013-11-29 20:38:39.969; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Norway&wt=javabin&version=2&rows=10} hits=9919 status=0 QTime=1 
INFO  - 2013-11-29 20:38:40.048; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Africa&wt=javabin&version=2&rows=10} hits=23 status=0 QTime=1 
INFO  - 2013-11-29 20:38:45.292; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Iraq&wt=javabin&version=2&rows=10} hits=23209 status=0 QTime=2 
INFO  - 2013-11-29 20:38:45.338; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Iraq&wt=javabin&version=2&rows=10} hits=23209 status=0 QTime=2 
INFO  - 2013-11-29 20:38:45.377; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Iraq&wt=javabin&version=2&rows=10} hits=23209 status=0 QTime=2 
INFO  - 2013-11-29 20:38:45.416; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Iraq&wt=javabin&version=2&rows=10} hits=23209 status=0 QTime=2 
INFO  - 2013-11-29 20:38:45.452; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Turkey&wt=javabin&version=2&rows=10} hits=49782 status=0 QTime=3 
INFO  - 2013-11-29 20:38:45.481; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Iraq&wt=javabin&version=2&rows=10} hits=23209 status=0 QTime=2 
INFO  - 2013-11-29 20:38:45.514; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Turkey&wt=javabin&version=2&rows=10} hits=49782 status=0 QTime=3 
INFO  - 2013-11-29 20:38:45.552; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Iraq&wt=javabin&version=2&rows=10} hits=23209 status=0 QTime=3 
INFO  - 2013-11-29 20:38:45.753; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Turkey&wt=javabin&version=2&rows=10} hits=49782 status=0 QTime=3 
INFO  - 2013-11-29 20:38:45.930; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Turkey&wt=javabin&version=2&rows=10} hits=49782 status=0 QTime=3 
INFO  - 2013-11-29 20:38:45.979; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Turkey&wt=javabin&version=2&rows=10} hits=49782 status=0 QTime=3 
INFO  - 2013-11-29 20:38:46.006; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Iraq&wt=javabin&version=2&rows=10} hits=23209 status=0 QTime=2 
INFO  - 2013-11-29 20:38:46.042; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Iraq&wt=javabin&version=2&rows=10} hits=23209 status=0 QTime=2 
INFO  - 2013-11-29 20:38:50.879; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=England&wt=javabin&version=2&rows=10} hits=50 status=0 QTime=1 
INFO  - 2013-11-29 20:38:50.923; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=United+Kingdom&wt=javabin&version=2&rows=10} hits=28275 status=0 QTime=5 
INFO  - 2013-11-29 20:38:50.983; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Edinburgh&wt=javabin&version=2&rows=10} hits=14 status=0 QTime=1 
INFO  - 2013-11-29 20:38:51.140; org.apache.solr.core.SolrCore; [geolocations] webapp=/solr path=/select params={start=0&q=Manchester&wt=javabin&version=2&rows=10} hits=110 status=0 QTime=1 
